timestep    hare population        puma population
0           0.682113087409          0.691329250279          
8           0.584872354108          0.65449409234          
16           0.514175444298          0.605297969507          
24           0.465390856891          0.550534502793          
32           0.434247378059          0.495153483844          
40           0.417360082871          0.44234247704          
48           0.412313937052          0.393924657299          
56           0.417532023913          0.350779129676          
64           0.432100486117          0.313183573269          
72           0.455611474902          0.281064194886          
80           0.488035900821          0.254167948588          
88           0.529618887857          0.232178211652          
96           0.580784361544          0.21479296669          
104           0.642032389897          0.201780585664          
112           0.713809972016          0.19302486064          
120           0.796331496667          0.188568481496          
128           0.889319056766          0.188662393058          
136           0.991627210976          0.193826297193          
144           1.10071820566          0.204920528898          
152           1.21197882726          0.223216308234          
160           1.31795450481          0.250419929828          
168           1.40777811478          0.288543349498          
176           1.46743324923          0.339419277947          
184           1.48188025534          0.403606214337          
192           1.43986635792          0.478653296087          
200           1.34039822495          0.557494379957          
208           1.19666005416          0.628752647112          
216           1.03258433823          0.680249689557          
224           0.873029395282          0.704069765056          
232           0.734958540801          0.699354705832          
240           0.625149529571          0.671121191296          
248           0.543100002465          0.626982742639          
256           0.48499509903          0.574336965831          
264           0.446404686611          0.518989328628          
272           0.423517213688          0.464902790251          
280           0.413480261098          0.414483518119          
288           0.414351880487          0.369004407786          
296           0.424935765895          0.328988292835          
304           0.444611896702          0.294500796041          
312           0.473194695632          0.265356704448          
320           0.510818493252          0.241259682115          
328           0.557838800585          0.221895966059          
336           0.614733929945          0.206999122604          
344           0.681988865557          0.196399084726          
352           0.75993956536          0.190065750817          
360           0.848550429521          0.188155394375          
368           0.947091488728          0.191066279414          
376           1.05367918913          0.199506416901          
384           1.16465717315          0.214567391167          
392           1.27384796232          0.237775693139          
